793, 148, 793, 88, 788, 55
788, 55, 778, -4, 725, -4
725, -4, 698, -4, 681, 13
681, 13, 664, 31, 664, 58
664, 58, 664, 71, 666, 97
666, 97, 669, 123, 669, 136
669, 136, 669, 145, 669, 154
669, 154, 564, 105, 408, 105
408, 105, 250, 105, 146, 154
146, 154, 146, 138, 148, 106
148, 106, 151, 74, 151, 58
151, 58, 151, 31, 133, 13
133, 13, 116, -4, 89, -4
89, -4, 37, -4, 28, 55
28, 55, 22, 91, 22, 148
22, 148, 22, 341, 116, 512
116, 512, 214, 690, 375, 787
375, 787, 390, 796, 407, 796
407, 796, 425, 796, 441, 787
441, 787, 599, 692, 700, 512
700, 512, 793, 344, 505, 508
505, 508, 505, 547, 476, 575
476, 575, 447, 604, 408, 604
408, 604, 368, 604, 339, 576
339, 576, 311, 548, 311, 508
311, 508, 311, 468, 339, 439
339, 439, 367, 411, 408, 411
408, 411, 448, 411, 476, 439
476, 439, 505, 468, 793, 148
